id,is_iceberg
5941774d,0.368668
4023181e,0.39760402
b20200e4,1.5862726e-07
e7f018bb,0.9848677
4371c8c3,0.14525145
a8d9b1fd,0.014260918
29e7727e,0.13737673
92a51ffb,0.99712396
c769ac97,2.1781543e-09
aee0547d,6.04957e-16
565b28ac,1.2500617e-10
e04e9775,0.36318153
8e8161d1,0.00030609965
4cf4d256,0.45776546
139e5324,0.0016542971
f156976f,0.001237452
68a117cc,0.0028268397
d9aa7a56,0.044623107
9005b143,0.03560847
5f6d3988,0.745554
9ad70954,0.01353693
b9087b9e,0.40886232
a39a1427,0.28387487
82fbe8ed,0.322325
1fae4879,7.0658564e-27
6dd8f13d,4.842939e-16
bbad5958,0.04598245
54527583,0.21489885
be8fa29c,0.011274964
81a3328f,0.9785574
1a3c0ab3,2.2151355e-25
4deeeb8b,0.1699822
ac6d5632,0.35871816
472dadb5,0.09520525
96093f95,0.70515126
f5b4e3df,0.9541749
e01a3c92,0.041663468
001680af,0.00695315
8e639f33,0.6446507
a2c16612,0.5401915
a6d76474,1.6927097e-27
19c47684,0.25968504
015827b6,0.08368504
7df7f7ce,0.037704587
0bbf1a3f,0.30768582
636cfbb7,0.27115944
7370030a,0.9331422
43aa97ad,4.04766e-32
ba2b5e63,0.9947219
dfdd335b,0.12907106
e79b13dc,6.5457834e-25
dc32b195,0.13507518
6d868590,0.89799434
75fa59aa,0.0012862682
ffe50836,0.00094753504
a7bfd784,0.8064279
b3d569e3,0.3677055
6c538c5b,0.12807542
5c7c15f4,1.1823211e-13
0b745139,0.25472897
fd14608e,0.11717534
f0bc8305,0.16495901
a10ccb28,0.9871887
543304c7,0.670153
6c3a4078,0.0
9b73cc75,0.60157967
5c6c71b1,0.18280938
09ee9186,0.040835112
207c35cf,0.28090328
153c813e,0.0009847283
5605d58b,0.49892983
642ca396,0.00015881658
d32d72c0,0.46017107
16646a17,0.96217704
384074af,0.0004760921
69bf1e8c,0.226423
9e90a054,0.3769198
89dbe7f7,0.94034684
dbd27d22,0.22665244
a2ea1561,0.5839771
d63402af,0.26290023
1ac8bb92,0.98660904
8beffca5,0.40057066
46741f3e,0.00013193488
e5ee6aa7,0.010015368
5ecd892b,0.6323732
69892166,2.9366448e-13
2f725a81,0.07227048
810abfe4,3.525748e-32
e6f973e6,0.46602428
c60a5c46,0.0010505021
c42b9e08,0.89459
c3f00c23,0.008876175
5307fdb8,0.9813867
3e4f005e,0.01675871
4a4cc2e0,0.72714293
9bdd88d1,2.8984663e-16
0d832bed,0.002506286
14a134fa,5.7012293e-09
78a41676,8.276754e-19
0bd4658e,0.008341998
4a311bb0,0.20755944
f939c817,0.1572153
956adc4d,0.9979869
f8a119f5,0.61368275
61faa1ad,0.009870142
6725eb3e,0.015145302
17b3a8fd,4.7294253e-09
49a88dfc,2.451569e-23
2d6ec645,0.057920307
0d4d77ba,0.46288395
3ee672a2,0.99825096
738b41fd,0.6093148
f7fb320d,0.40135604
